"","prop_15","prop_16","age","gender","race","race4","race5","hispanic","educ","income3","ca_region","ca_county","pid3","pid7","elec_int_state","covid_response"
"232",2,2,55,2,1,1,1,2,5,3,2,34,2,7,3,3
"233",1,1,74,1,1,1,1,2,4,1,2,29,3,3,1,1
"234",1,1,74,2,1,1,1,2,6,3,3,1,1,1,1,1
"235",1,1,68,2,1,1,1,2,6,1,3,43,1,1,1,1
"236",2,1,63,1,3,3,3,1,2,1,4,19,1,1,1,1
"237",1,2,83,1,3,3,3,1,3,4,1,17,3,3,1,1
"238",2,2,75,2,1,1,1,2,6,3,1,56,2,7,3,2
"239",1,2,65,2,6,4,5,2,5,4,5,36,1,1,1,1
"240",1,1,69,2,2,2,2,2,5,1,4,19,1,2,1,3
"241",1,2,23,1,1,1,1,2,5,2,3,41,3,3,1,1
"242",1,1,48,1,1,1,1,2,5,3,3,38,1,1,1,1
"243",1,2,62,2,1,1,1,2,5,2,4,19,1,1,1,1
"244",1,2,62,2,1,1,1,2,5,1,2,34,1,1,1,1
"245",2,2,37,1,3,3,3,1,3,2,2,52,3,5,2,2
"246",2,2,64,2,1,1,1,2,6,2,1,40,3,5,1,3
"247",1,1,66,1,1,1,1,2,6,3,1,48,1,1,1,1
"248",2,1,49,1,4,4,4,2,5,1,4,19,1,1,1,1
"249",1,1,41,2,1,1,1,2,6,2,4,19,3,3,1,1
"250",2,2,49,2,6,4,5,1,4,3,5,33,2,7,3,2
"251",1,1,54,2,1,1,1,2,3,1,4,19,1,2,1,1
"252",2,2,47,1,4,4,4,2,6,4,3,41,3,3,2,1
"253",2,2,75,2,1,1,1,2,6,2,1,48,2,7,1,2
"254",2,2,73,1,1,1,1,2,5,1,2,10,4,4,4,2
"255",2,2,65,1,7,4,5,1,5,4,3,1,4,5,2,1
"256",2,2,63,2,1,1,1,2,4,1,1,44,2,7,1,3
"257",1,1,47,2,1,1,1,2,6,3,1,56,3,3,1,1
"258",1,1,56,1,1,1,1,2,6,3,5,30,1,1,1,1
"259",1,1,63,2,1,1,1,2,5,2,1,44,3,3,1,1
"260",1,1,28,1,1,1,1,2,5,3,1,56,1,1,2,1
"261",2,1,36,1,6,4,5,1,5,3,5,37,1,2,2,1
"262",1,1,69,2,1,1,1,2,6,1,2,10,1,1,1,1
"263",2,1,48,2,1,1,1,2,5,3,5,30,1,2,1,3
"264",2,2,75,2,1,1,1,2,3,3,2,34,3,5,2,2
"265",2,2,46,2,1,1,1,2,6,3,1,49,2,7,1,2
"266",2,1,57,2,1,1,1,2,4,2,2,31,1,1,1,1
"267",2,2,61,2,1,1,1,2,5,2,3,38,2,7,4,2
"268",1,1,64,1,1,1,1,2,6,3,3,41,3,3,1,1
"269",2,2,29,1,1,1,1,2,3,2,1,8,2,7,1,2
"270",2,2,61,2,1,1,1,2,3,1,2,51,2,6,4,2
"271",1,1,43,1,1,1,1,2,6,3,5,37,3,3,1,1
"272",3,2,43,2,1,1,1,2,5,2,3,43,1,2,2,1
"273",1,1,38,2,1,1,1,2,5,2,2,4,1,1,2,1
"274",1,1,62,2,1,1,1,2,3,3,3,1,1,1,2,1
"275",1,1,68,1,4,4,4,2,3,3,1,44,1,2,1,1
"276",1,1,63,2,1,1,1,2,5,2,1,40,1,1,1,1
"277",2,2,73,2,1,1,1,2,3,4,5,36,1,1,1,1
"278",2,2,37,2,1,1,1,2,6,3,1,40,3,4,1,1
"279",1,1,45,2,2,2,2,2,6,1,2,15,1,2,3,1
"280",NA,NA,51,1,3,3,3,1,2,1,2,15,5,8,5,1
"281",1,1,55,1,1,1,1,2,6,3,5,30,1,1,2,1
"282",3,1,48,2,3,3,3,1,5,2,4,19,1,2,1,1
"283",1,1,75,2,1,1,1,2,5,1,1,49,1,1,1,3
"284",2,1,64,1,1,1,1,2,6,3,3,41,1,1,1,1
"285",1,1,32,1,1,1,1,1,5,3,2,5,2,7,NA,1
"286",1,1,65,1,1,1,1,2,5,3,2,58,1,1,1,1
"287",2,2,32,1,7,4,5,2,6,4,3,7,3,4,2,2
"288",1,1,60,2,1,1,1,2,4,1,5,37,1,1,5,2
"289",1,1,40,2,3,3,3,1,5,2,5,33,1,1,1,1
"290",1,1,72,2,1,1,1,2,3,1,2,11,1,1,1,1
"291",2,2,52,2,1,1,1,1,4,1,3,7,3,3,1,2
"292",NA,NA,35,1,4,4,4,2,3,1,4,19,5,8,2,3
"293",2,2,71,1,1,1,1,2,5,3,5,30,2,7,1,2
"294",1,2,75,1,1,1,1,2,5,2,2,39,1,1,1,1
"295",1,2,40,1,1,1,1,1,5,3,1,56,1,2,1,2
"296",1,3,74,1,1,1,1,2,6,1,5,37,3,3,1,1
"297",2,2,57,1,1,1,1,2,4,3,5,37,3,4,4,2
"298",1,1,64,1,1,1,1,2,5,4,4,19,1,1,1,3
"299",2,2,73,2,1,1,1,2,4,2,2,31,2,7,4,3
"300",2,2,49,1,5,4,5,2,3,3,4,19,3,5,4,3
"301",2,2,60,2,7,4,5,1,6,4,2,24,2,7,4,2
"302",1,1,63,2,5,4,5,1,4,1,2,39,1,1,1,1
"303",2,2,73,2,1,1,1,2,6,3,4,19,3,3,1,1
"304",1,2,58,2,4,4,4,2,5,2,4,19,1,1,1,1
"305",2,2,58,2,7,4,5,2,3,1,2,10,3,3,1,1
"306",NA,1,81,2,1,1,1,2,6,4,5,37,1,1,1,1
"307",2,2,52,1,1,1,1,2,3,4,2,34,2,6,4,2
"308",1,2,39,1,1,1,1,2,6,3,1,40,1,1,1,1
"309",1,1,33,1,1,1,1,2,3,1,2,10,4,3,1,1
"310",2,2,61,2,1,1,1,2,3,2,1,40,1,1,1,1
"311",1,1,37,1,1,1,1,2,5,3,3,38,1,1,1,1
"312",1,1,19,2,1,1,1,2,3,1,5,30,3,5,1,3
"313",1,2,30,1,1,1,1,2,6,3,4,19,2,6,2,3
"314",2,1,57,1,3,3,3,1,3,3,3,21,1,1,1,1
"315",1,1,58,2,1,1,1,2,3,2,3,38,1,2,2,1
"316",2,2,58,2,7,4,5,2,4,3,1,42,2,7,4,3
"317",2,2,63,2,1,1,1,2,5,2,1,56,5,4,2,1
"318",2,2,42,2,1,1,1,2,5,2,4,19,2,6,2,3
"319",2,2,79,1,1,1,1,2,6,2,4,19,2,7,3,2
"320",2,1,34,2,1,1,1,2,5,1,5,37,1,1,2,1
"321",1,3,56,2,1,1,1,2,3,4,2,31,1,1,1,1
"322",1,2,55,1,4,4,4,2,3,2,3,38,3,3,1,3
"323",1,2,73,1,1,1,1,2,6,3,3,7,1,2,1,1
"324",1,2,62,1,1,1,1,2,6,2,4,19,1,1,1,1
"325",1,1,56,2,1,1,1,2,5,3,1,42,1,1,1,3
"326",1,2,61,1,1,1,1,2,5,3,4,19,2,7,2,2
"327",1,1,23,1,1,1,1,2,5,1,4,19,1,2,1,2
"328",1,3,57,1,1,1,1,2,3,1,1,48,3,3,3,1
"329",2,2,27,1,1,1,1,2,6,3,4,19,2,7,1,3
"330",1,1,51,2,4,4,4,2,6,3,3,7,2,6,2,1
"331",2,1,42,2,1,1,1,2,2,2,5,37,1,1,1,1
"332",2,2,54,2,1,1,1,2,3,2,2,39,2,6,3,3
"333",2,NA,32,1,3,3,3,1,3,1,4,19,1,1,1,1
"334",1,1,40,2,1,1,1,2,5,2,4,19,1,1,2,1
"335",2,2,66,1,1,1,1,2,6,3,4,19,3,5,2,2
"336",1,2,67,2,1,1,1,2,5,2,4,19,1,2,1,1
"337",1,1,71,2,1,1,1,2,3,1,5,36,2,6,2,3
"338",2,2,69,1,1,1,1,2,5,3,3,7,2,7,2,3
"339",2,2,73,2,1,1,1,2,5,3,4,19,1,1,4,2
"340",2,2,72,2,1,1,1,2,4,1,5,36,2,7,3,2
"341",1,1,21,1,3,3,3,1,3,1,3,7,2,7,3,2
"342",2,1,58,1,1,1,1,2,3,3,3,1,3,3,1,1
"343",1,1,76,2,1,1,1,2,6,4,3,1,1,1,NA,1
"344",2,2,59,2,1,1,1,2,2,1,5,37,3,4,1,2
"345",1,3,43,2,4,4,4,2,5,3,4,19,3,4,2,2
"346",2,2,77,1,1,1,1,2,6,3,2,29,3,5,1,NA
"347",1,1,50,1,1,1,1,2,5,3,4,19,1,2,2,1
"348",1,1,73,2,1,1,1,2,5,1,4,19,1,1,1,1
"349",2,NA,58,1,1,1,1,2,3,2,5,37,3,8,5,3
"350",2,2,37,1,3,3,3,1,6,2,4,19,2,7,2,3
"351",2,2,55,1,3,3,3,1,6,3,2,34,3,4,1,1
"352",1,2,39,2,6,4,5,1,3,1,2,15,1,2,3,3
"353",2,2,46,2,1,1,1,2,6,3,3,43,1,1,2,1
"354",1,1,83,2,1,1,1,2,5,3,4,19,3,5,2,3
"355",2,2,45,1,1,1,1,2,4,2,1,48,2,7,1,1
"356",1,1,26,2,1,1,1,2,2,1,5,36,1,1,1,1
"357",2,2,68,1,1,1,1,2,4,2,2,34,4,4,1,1
"358",NA,NA,30,2,1,1,1,2,4,2,2,34,2,6,5,3
"359",2,2,57,1,1,1,1,2,5,3,5,30,2,6,2,2
"360",2,2,35,1,1,1,1,2,6,3,5,30,2,7,1,NA
"361",1,1,74,1,1,1,1,1,6,3,3,1,3,3,1,1
"362",1,2,59,1,1,1,1,2,4,1,2,50,2,7,4,2
"363",2,2,31,1,1,1,1,1,5,2,3,38,1,1,3,1
"364",2,2,55,2,1,1,1,2,4,1,2,15,3,5,1,1
"365",1,1,36,1,1,1,1,2,5,3,5,37,3,5,1,1
"366",2,2,69,2,1,1,1,2,5,3,2,34,2,6,2,1
"367",2,2,29,1,1,1,1,2,3,2,2,15,3,5,3,2
"368",2,2,70,1,1,1,1,2,5,3,1,48,3,5,3,3
"369",NA,NA,19,1,1,1,1,2,2,1,2,34,2,7,3,1
"370",1,1,38,2,1,1,1,2,3,1,1,12,4,3,1,3
"371",2,2,70,1,4,4,4,2,3,2,3,1,3,4,2,3
"372",2,2,69,1,1,1,1,2,2,1,3,1,1,1,1,1
"373",2,2,35,2,1,1,1,2,5,2,3,7,2,6,4,1
"374",2,2,74,2,1,1,1,2,4,3,4,19,4,4,1,3
"375",1,2,59,2,1,1,1,2,6,4,3,7,4,4,2,1
"376",2,2,67,2,1,1,1,2,4,2,5,37,3,4,3,3
"377",NA,NA,55,2,1,1,1,2,3,1,1,40,2,6,4,NA
"378",2,2,20,2,1,1,1,2,2,1,2,31,2,7,1,3
"379",2,2,49,1,4,4,4,2,4,1,4,19,2,7,3,1
"380",1,1,64,1,2,2,2,2,3,3,3,43,1,1,1,1
"381",2,2,67,2,1,1,1,2,5,2,2,4,2,7,2,3
"382",1,1,63,1,1,1,1,2,5,4,4,19,3,3,1,3
"383",2,2,63,1,1,1,1,2,6,3,5,37,2,7,2,3
"384",2,2,71,1,1,1,1,2,5,2,3,43,1,2,1,1
"385",1,2,84,2,1,1,1,2,6,2,5,37,1,1,1,1
"386",2,1,64,1,1,1,1,2,3,2,2,39,1,2,1,1
"387",1,1,56,1,1,1,1,2,5,3,3,1,1,1,1,1
"388",1,2,32,2,3,3,3,1,3,1,4,19,1,1,4,2
"389",NA,NA,41,2,3,3,3,1,3,1,2,54,1,2,2,3
"390",2,2,47,1,1,1,1,2,3,1,3,1,3,5,4,2
